model_name,num_layers,num_neurons,num_epochs,learning_rate,batch_size,train_loss,train_mae,train_rmse,training_r2,val_loss,val_mae,val_rmse,val_r2,training_time
model 44,1,32,250,0.001,32,0.16332310438156128,0.31886547803878784,0.40413254499435425,0.9259454607963562,0.057109177112579346,0.18703822791576385,0.23897527158260345,0.9748210906982422,46.35049104690552
model 45,1,32,250,0.001,64,0.13337096571922302,0.28636518120765686,0.36519989371299744,0.9395266175270081,0.05322486534714699,0.18063071370124817,0.2307051420211792,0.9765337109565735,28.866179704666138
model 46,1,32,500,0.0001,128,0.18602584302425385,0.33557966351509094,0.4313071370124817,0.9156520962715149,0.056093428283929825,0.18935534358024597,0.23684051632881165,0.9752690196037292,36.93293118476868
model 47,1,32,500,0.0001,32,0.19993723928928375,0.35148611664772034,0.44714343547821045,0.9093445539474487,0.0491030216217041,0.17784881591796875,0.2215920090675354,0.9783509373664856,89.41113233566284
model 48,1,32,500,0.0001,64,0.19313360750675201,0.3427181839942932,0.43946969509124756,0.9124298095703125,0.0586005337536335,0.19383056461811066,0.24207547307014465,0.9741636514663696,58.223774671554565
model 49,1,32,500,0.0005,128,0.118565633893013,0.26721373200416565,0.34433361887931824,0.9462400674819946,0.051160603761672974,0.1811966896057129,0.2261870950460434,0.9774438142776489,36.540348291397095
model 50,1,32,500,0.0005,32,0.16266889870166779,0.3176083564758301,0.40332233905792236,0.9262422919273376,0.055622346699237823,0.18308445811271667,0.23584389686584473,0.9754766225814819,88.61923933029175
model 51,1,32,500,0.0005,64,0.12139828503131866,0.2730858325958252,0.3484225571155548,0.9449552893638611,0.048863984644412994,0.17320255935192108,0.22105199098587036,0.9784563779830933,58.613635778427124
model 52,1,32,500,0.001,128,0.10325681418180466,0.25056129693984985,0.32133597135543823,0.9531812071800232,0.05124601349234581,0.18126043677330017,0.22637581825256348,0.9774061441421509,36.730074405670166
model 53,1,32,500,0.001,32,0.1580960750579834,0.3134080171585083,0.39761295914649963,0.9283156991004944,0.051889389753341675,0.1816929131746292,0.227792426943779,0.9771224856376648,88.94739151000977
model 54,1,32,500,0.001,64,0.13796880841255188,0.29140785336494446,0.371441513299942,0.9374422430992126,0.058459024876356125,0.19442665576934814,0.241783007979393,0.9742259979248047,57.46561670303345
model 55,1,64,100,0.0001,128,0.3213167190551758,0.4418439567089081,0.5668480396270752,0.8543084859848022,0.04428442567586899,0.16748419404029846,0.21043865382671356,0.9804754853248596,8.262028455734253
model 56,1,64,100,0.0001,32,0.20861725509166718,0.35885316133499146,0.456746369600296,0.9054086804389954,0.0397881381213665,0.15775734186172485,0.1994696408510208,0.9824578166007996,18.82193684577942
model 57,1,64,100,0.0001,64,0.20325464010238647,0.35524433851242065,0.4508377015590668,0.9078397750854492,0.04363591969013214,0.16671857237815857,0.2088921219110489,0.9807614088058472,11.897658348083496
