model_name,MF_type,MF_num,learning_rate,batch_size,num_epochs,train_MSE,train_MAE,train_RMSE,train_R2,val_MSE,val_MAE,val_RMSE,val_R2,training_time
model 34,Smoothed Triangular,3,0.0001,32,250,20.55847930908203,4.255403518676758,4.534145832061768,-7.391148567199707,20.72954750061035,4.273260116577148,4.552971363067627,-7.396605491638184,66.54723691940308
model 35,Smoothed Triangular,4,0.0001,32,250,17.7010555267334,3.938293695449829,4.20726203918457,-6.224903106689453,17.694889068603516,3.935580253601074,4.206529140472412,-6.167402267456055,117.90908288955688
model 36,Smoothed Triangular,5,0.0001,32,250,10.041905403137207,3.0200564861297607,3.1688966751098633,-3.0987138748168945,10.13681411743164,3.038837432861328,3.1838364601135254,-3.1059670448303223,211.2843999862671
model 37,Gaussian,3,0.0005,32,250,0.09930716454982758,0.25427526235580444,0.3151303827762604,0.9594668745994568,0.09438563138246536,0.24606887996196747,0.307222455739975,0.961768627166748,59.11675667762756
model 38,Gaussian,4,0.0005,32,250,0.09763693064451218,0.25204601883888245,0.31246909499168396,0.9601483941078186,0.09359222650527954,0.24393288791179657,0.30592846870422363,0.962090015411377,103.05152153968811
model 39,Gaussian,5,0.0005,32,250,0.09757207334041595,0.2525082528591156,0.3123652935028076,0.9601749181747437,0.09414128959178925,0.24517199397087097,0.30682453513145447,0.96186763048172,190.40144181251526
model 40,Generalized Bell,3,0.0005,32,250,0.09902798384428024,0.2547014653682709,0.3146871328353882,0.9595808982849121,0.096226267516613,0.2480054646730423,0.31020358204841614,0.9610230922698975,62.72499942779541
model 41,Generalized Bell,4,0.0005,32,250,0.09791462123394012,0.2523530125617981,0.31291311979293823,0.9600350856781006,0.09416767209768295,0.2451046109199524,0.3068675100803375,0.9618569016456604,108.38375568389893
model 42,Generalized Bell,5,0.0005,32,250,0.09420003741979599,0.2480710744857788,0.30692026019096375,0.961551308631897,0.09190904349088669,0.24477843940258026,0.3031650483608246,0.9627717733383179,200.2514100074768
model 43,Smoothed Triangular,3,0.0005,32,250,0.106500543653965,0.26396527886390686,0.32634422183036804,0.9565306901931763,0.10344772040843964,0.25714266300201416,0.32163289189338684,0.9580979943275452,68.29347133636475
model 44,Smoothed Triangular,4,0.0005,32,250,20.558387756347656,4.255395889282227,4.534135818481445,-7.391132354736328,20.72946548461914,4.273251533508301,4.552962303161621,-7.396572113037109,117.96694087982178
model 45,Smoothed Triangular,5,0.0005,32,250,20.558298110961914,4.255387306213379,4.534125804901123,-7.391088485717773,20.729372024536133,4.273242950439453,4.552951812744141,-7.3965349197387695,209.39859127998352
model 46,Gaussian,3,0.001,32,250,0.09709448367357254,0.25166794657707214,0.31159988045692444,0.9603697061538696,0.09338723868131638,0.24460306763648987,0.30559325218200684,0.9621730446815491,58.6506233215332
model 47,Gaussian,4,0.001,32,250,0.09787642955780029,0.2529318630695343,0.31285208463668823,0.9600507616996765,0.09407595545053482,0.24498969316482544,0.30671805143356323,0.9618940353393555,102.74870085716248
model 48,Gaussian,5,0.001,32,250,0.09837765246629715,0.2534198462963104,0.3136521279811859,0.959845781326294,0.09542137384414673,0.24653758108615875,0.3089035153388977,0.9613491296768188,191.99154448509216
