model_name,MF_type,MF_num,learning_rate,batch_size,num_epochs,train_MSE,train_MAE,train_RMSE,val_MSE,val_MAE,val_RMSE,training_time
model 107,Smoothed Triangular,4,0.001,64,100,6.3620429039001465,2.4984631538391113,2.5223090648651123,6.24431848526001,2.4763331413269043,2.498863458633423,40.89896202087402
model 108,Smoothed Triangular,5,0.001,64,100,6.8334808349609375,2.5327253341674805,2.6140928268432617,6.57107400894165,2.489281177520752,2.563410520553589,94.16828227043152
model 109,Gaussian,2,0.0001,128,250,5.733142375946045,2.372204065322876,2.3943982124328613,5.649164199829102,2.35526967048645,2.3767969608306885,18.692809343338013
model 110,Gaussian,3,0.0001,128,250,6.353947162628174,2.498908281326294,2.5207037925720215,6.2711639404296875,2.483133554458618,2.5042293071746826,28.342154502868652
model 111,Gaussian,4,0.0001,128,250,6.685088157653809,2.5639398097991943,2.5855536460876465,6.606579303741455,2.5495588779449463,2.570326805114746,74.35032272338867
model 112,Gaussian,5,0.0001,128,250,7.045073986053467,2.634232997894287,2.6542558670043945,6.963949680328369,2.619495153427124,2.638929605484009,178.23463487625122
model 113,Generalized Bell,2,0.0001,128,250,5.512147903442383,2.3158509731292725,2.3477964401245117,5.407498359680176,2.29556941986084,2.3254027366638184,19.30004358291626
model 114,Generalized Bell,3,0.0001,128,250,7.243293762207031,2.667870044708252,2.6913368701934814,7.118590831756592,2.644366502761841,2.6680686473846436,29.893678665161133
model 115,Generalized Bell,4,0.0001,128,250,8.353174209594727,2.8703205585479736,2.890185832977295,8.255486488342285,2.8537356853485107,2.8732361793518066,76.44369196891785
model 116,Generalized Bell,5,0.0001,128,250,6.411688327789307,2.5044567584991455,2.5321311950683594,6.331633567810059,2.488677501678467,2.5162737369537354,182.93482041358948
model 117,Smoothed Triangular,2,0.0001,128,250,20.512670516967773,4.2494072914123535,4.5290913581848145,20.285120010375977,4.22438907623291,4.503900527954102,20.678512811660767
model 118,Smoothed Triangular,3,0.0001,128,250,19.9971866607666,4.1892008781433105,4.471821308135986,19.76447296142578,4.163536071777344,4.445725440979004,31.716623544692993
model 119,Smoothed Triangular,4,0.0001,128,250,17.586305618286133,3.619425058364868,4.193603038787842,17.456144332885742,3.610302686691284,4.178055286407471,80.46458721160889
model 120,Smoothed Triangular,5,0.0001,128,250,18.890810012817383,3.953204393386841,4.34635591506958,18.617969512939453,3.9170267581939697,4.314854621887207,190.60935711860657
model 121,Gaussian,2,0.0005,128,250,0.10439065843820572,0.26135024428367615,0.323095440864563,0.10070481151342392,0.25344792008399963,0.317340224981308,18.20083236694336
model 122,Gaussian,3,0.0005,128,250,0.10331575572490692,0.2575754225254059,0.32142767310142517,0.09885067492723465,0.2483026385307312,0.31440526247024536,28.13955330848694
model 123,Gaussian,4,0.0005,128,250,0.10044148564338684,0.2547057271003723,0.316925048828125,0.09650532901287079,0.24466551840305328,0.31065306067466736,74.43374395370483
model 124,Gaussian,5,0.0005,128,250,0.09971272945404053,0.2545504868030548,0.31577321887016296,0.09569409489631653,0.24483786523342133,0.309344619512558,181.23464488983154
model 125,Generalized Bell,2,0.0005,128,250,0.10671479254961014,0.2640433609485626,0.3266723155975342,0.10277192294597626,0.25664806365966797,0.3205806016921997,19.109407663345337
model 126,Generalized Bell,3,0.0005,128,250,0.09679870307445526,0.25140580534935,0.31112489104270935,0.09375970810651779,0.24419540166854858,0.30620208382606506,29.880687475204468
model 127,Generalized Bell,4,0.0005,128,250,0.09909798949956894,0.25389641523361206,0.3147983253002167,0.09540904313325882,0.24441267549991608,0.30888354778289795,77.4669668674469
model 128,Generalized Bell,5,0.0005,128,250,0.09653972089290619,0.2505660653114319,0.3107084035873413,0.09410517662763596,0.24409691989421844,0.30676567554473877,182.8961524963379
model 129,Smoothed Triangular,2,0.0005,128,250,20.56549644470215,4.2563090324401855,4.534919738769531,20.336105346679688,4.231236457824707,4.509557247161865,20.68353033065796
model 130,Smoothed Triangular,3,0.0005,128,250,16.38602066040039,3.853281259536743,4.047965049743652,16.20477867126465,3.8318591117858887,4.025516033172607,31.77369451522827
model 131,Smoothed Triangular,4,0.0005,128,250,20.565473556518555,4.256308078765869,4.53491735458374,20.336088180541992,4.231234550476074,4.509555339813232,79.28357577323914
model 132,Smoothed Triangular,5,0.0005,128,250,20.565452575683594,4.2563066482543945,4.534914970397949,20.336069107055664,4.231232166290283,4.509552955627441,189.33230996131897
model 133,Gaussian,2,0.001,128,250,0.10301212966442108,0.25973668694496155,0.3209550380706787,0.09977584332227707,0.2530221939086914,0.3158731460571289,18.4500150680542
model 134,Gaussian,3,0.001,128,250,0.09964538365602493,0.25545990467071533,0.3156665563583374,0.0959639698266983,0.2463567852973938,0.3097805082798004,28.30003523826599
model 135,Gaussian,4,0.001,128,250,0.098385751247406,0.25289055705070496,0.3136650323867798,0.09505623579025269,0.24506212770938873,0.30831190943717957,74.6876380443573
model 136,Gaussian,5,0.001,128,250,0.09887229651212692,0.25443288683891296,0.31443965435028076,0.09530135989189148,0.24569904804229736,0.30870917439460754,178.1176414489746
model 137,Generalized Bell,2,0.001,128,250,0.10354696214199066,0.2607085108757019,0.32178714871406555,0.1007101982831955,0.2552987039089203,0.3173486888408661,19.332721710205078
model 138,Generalized Bell,3,0.001,128,250,0.1009940505027771,0.25724688172340393,0.31779560446739197,0.09714503586292267,0.24819807708263397,0.31168097257614136,29.966802835464478
model 139,Generalized Bell,4,0.001,128,250,0.09729889035224915,0.25133296847343445,0.3119277060031891,0.09426974505186081,0.24462561309337616,0.3070337772369385,77.79084205627441
model 140,Generalized Bell,5,0.001,128,250,0.09620030224323273,0.2502018213272095,0.3101617395877838,0.09374024718999863,0.2444019615650177,0.3061702847480774,185.20153069496155
model 141,Smoothed Triangular,2,0.001,128,250,13.512330055236816,3.5780861377716064,3.6759121417999268,13.299581527709961,3.552548408508301,3.6468591690063477,20.909178018569946
model 142,Smoothed Triangular,3,0.001,128,250,8.792548179626465,2.9446191787719727,2.9652230739593506,8.693937301635742,2.9285075664520264,2.9485483169555664,31.675567626953125
model 143,Smoothed Triangular,4,0.001,128,250,4.160008430480957,2.0138916969299316,2.039609909057617,4.095555305480957,1.9986294507980347,2.0237479209899902,80.43376159667969
model 144,Smoothed Triangular,5,0.001,128,250,20.56540870666504,4.25629997253418,4.534910202026367,20.336021423339844,4.231227874755859,4.509547710418701,188.74536657333374
model 145,Gaussian,2,0.0001,32,250,0.10577979683876038,0.2631385028362274,0.32523804903030396,0.10173625499010086,0.2545655369758606,0.3189612030982971,38.31667685508728
model 146,Gaussian,3,0.0001,32,250,0.10407809168100357,0.26105839014053345,0.32261136174201965,0.10027675330638885,0.2527126669883728,0.31666505336761475,56.24792742729187
model 147,Gaussian,4,0.0001,32,250,0.09841032326221466,0.25284603238105774,0.3137041926383972,0.09523998200893402,0.2444383203983307,0.3086097538471222,101.99974179267883
model 148,Gaussian,5,0.0001,32,250,0.09905239194631577,0.25370484590530396,0.3147259056568146,0.09687595069408417,0.2502809762954712,0.3112490177154541,195.4652554988861
model 149,Generalized Bell,2,0.0001,32,250,0.10176894068717957,0.25789758563041687,0.31901243329048157,0.09952351450920105,0.2535424530506134,0.3154734671115875,40.90005278587341
model 150,Generalized Bell,3,0.0001,32,250,0.09951647371053696,0.2520718574523926,0.3154623210430145,0.09883522242307663,0.24894478917121887,0.3143807053565979,61.28364968299866
model 151,Generalized Bell,4,0.0001,32,250,0.1100076213479042,0.26408371329307556,0.3316739797592163,0.10646193474531174,0.26056188344955444,0.32628506422042847,109.01699018478394
model 152,Generalized Bell,5,0.0001,32,250,0.1067969873547554,0.25926196575164795,0.32679808139801025,0.104886494576931,0.2549211382865906,0.32386183738708496,203.20351266860962
model 153,Smoothed Triangular,2,0.0001,32,250,1.3678358793258667,0.48135218024253845,1.1695451736450195,1.3489725589752197,0.4680284857749939,1.1614527702331543,44.11585831642151
model 154,Smoothed Triangular,3,0.0001,32,250,20.56548500061035,4.256309509277344,4.534918308258057,20.336105346679688,4.231235504150391,4.509557247161865,65.45045065879822
model 155,Smoothed Triangular,4,0.0001,32,250,12.943211555480957,3.3707048892974854,3.5976674556732178,12.556862831115723,3.328822612762451,3.5435664653778076,116.81392502784729
model 156,Smoothed Triangular,5,0.0001,32,250,12.197827339172363,3.2604105472564697,3.4925389289855957,11.821138381958008,3.2179670333862305,3.438188314437866,216.23616528511047
model 157,Gaussian,2,0.0005,32,250,0.1011231392621994,0.2573520243167877,0.31799864768981934,0.09772231429815292,0.24940045177936554,0.31260567903518677,38.11923336982727
model 158,Gaussian,3,0.0005,32,250,0.09845380485057831,0.2535918354988098,0.3137734830379486,0.09511429071426392,0.2460557222366333,0.3084060549736023,55.7356743812561
model 159,Gaussian,4,0.0005,32,250,0.09804195910692215,0.25321823358535767,0.31311652064323425,0.09505964070558548,0.2463911771774292,0.3083174228668213,102.75834131240845
model 160,Gaussian,5,0.0005,32,250,0.10197840631008148,0.2584174871444702,0.3193405866622925,0.09826593101024628,0.24908839166164398,0.31347396969795227,193.13478016853333
